Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1741863785872,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,47.921875,45.03139114379883,45.22353744506836,44.540077209472656,48.13456344604492,47.79006576538086,0,0,0,0,NaN,NaN,50,NaN,50,0,0,0,9.206049919128418,19327352832,1073741824,14152744960,316538880
204,1741863785872,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,47.921875,45.03139114379883,45.22353744506836,44.540077209472656,48.13456344604492,47.79006576538086,100,NaN,NaN,NaN,0,0,NaN,0,NaN,NaN,NaN,NaN,9.206049919128418,19327352832,1073741824,14152744960,316538880
204,1741863786077,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,47.921875,45.03139114379883,45.22353744506836,44.540077209472656,48.13456344604492,47.79006576538086,90,85,85.71428680419922,90,90,90,85.71428680419922,76.19047546386719,85.71428680419922,90.47618865966797,90.90909576416016,90.90909576416016,9.206049919128418,19327352832,1073741824,14144159744,316538880
204,1741863786282,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,47.921875,45.03139114379883,45.22353744506836,44.540077209472656,48.13456344604492,47.79006576538086,50,50,65,75,45.45454788208008,42.85714340209961,40,31.57894515991211,60.000003814697266,61.904762268066406,60.000003814697266,60.000003814697266,9.206049919128418,19327352832,1073741824,14144159744,316538880
199,1741863786487,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,54.390625,47.661582946777344,48.18303298950195,47.1434326171875,51.921180725097656,51.51488494873047,30.000001907348633,20,0,19.047618865966797,10.526315689086914,5,5,9.090909004211426,5,10.526315689086914,10,30.000001907348633,9.206049919128418,19327352832,1073741824,14144159744,316538880
204,1741863786687,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,54.390625,47.661582946777344,48.18303298950195,47.1434326171875,51.921180725097656,51.51488494873047,80,61.904762268066406,5,40,40,23.809524536132813,10,0,5.263157844543457,50,5,36.842105865478516,9.206049919128418,19327352832,1073741824,14144159744,316538880
204,1741863786893,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,54.390625,47.661582946777344,48.18303298950195,47.1434326171875,51.921180725097656,51.51488494873047,57.142860412597656,40,0,35,20,10,5,9.523809432983398,9.090909004211426,20,0,23.809524536132813,8.58629035949707,19327352832,1073741824,14144159744,316538880
202,1741863787098,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,54.390625,47.661582946777344,48.18303298950195,47.1434326171875,51.921180725097656,51.51488494873047,60.000003814697266,50,0,19.047618865966797,28.571430206298828,15.000000953674316,14.285715103149414,5,0,19.047618865966797,0,14.285715103149414,8.58629035949707,19327352832,1073741824,16188178432,316538880
204,1741863787300,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,54.390625,47.661582946777344,48.18303298950195,47.1434326171875,51.921180725097656,51.51488494873047,52.6315803527832,45,10,31.57894515991211,35,19.047618865966797,10,10,15.789472579956055,33.333335876464844,15.000000953674316,36.842105865478516,8.58629035949707,19327352832,1073741824,16201760768,316538880
200,1741863787505,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,52,47.06678771972656,48.24519348144531,46.1650276184082,51.70927810668945,51.15645980834961,38.095237731933594,30.000001907348633,4.545454502105713,4.761904716491699,19.047618865966797,5.263157844543457,5,9.523809432983398,9.523809432983398,10,4.761904716491699,9.523809432983398,8.58629035949707,19327352832,1073741824,16201760768,316538880
204,1741863787706,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,52,47.06678771972656,48.24519348144531,46.1650276184082,51.70927810668945,51.15645980834961,35,25,0,10,15.000000953674316,19.047618865966797,10,0,0,10,0,100,8.58629035949707,19327352832,1073741824,16201760768,316538880
201,1741863787911,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,52,47.06678771972656,48.24519348144531,46.1650276184082,51.70927810668945,51.15645980834961,31.57894515991211,33.333335876464844,0,0,21.052631378173828,20,13.636363983154297,10,0,0,0,100,12.792494773864746,19327352832,1073741824,16201760768,316538880
202,1741863788113,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,52,47.06678771972656,48.24519348144531,46.1650276184082,51.70927810668945,51.15645980834961,33.333335876464844,21.052631378173828,0,0,20,10,5.263157844543457,5,0,4.761904716491699,0,95,12.792494773864746,19327352832,1073741824,16068870144,316538880
204,1741863788316,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,52,47.06678771972656,48.24519348144531,46.1650276184082,51.70927810668945,51.15645980834961,26.3157901763916,23.809524536132813,0,4.761904716491699,10,5.263157844543457,4.761904716491699,0,4.761904716491699,100,0,0,12.792494773864746,19327352832,1073741824,16070230016,316538880
202,1741863788520,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,51.515625,48.81510543823242,51.723201751708984,47.70020294189453,57.50705337524414,51.163795471191406,38.095237731933594,21.052631378173828,0,0,19.047618865966797,9.523809432983398,10,5,0,100,0,4.761904716491699,12.792494773864746,19327352832,1073741824,16060350464,316538880
204,1741863788722,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,51.515625,48.81510543823242,51.723201751708984,47.70020294189453,57.50705337524414,51.163795471191406,35,25,0,0,25,14.285715103149414,14.285715103149414,9.523809432983398,4.761904716491699,100,0,0,12.792494773864746,19327352832,1073741824,16045572096,316538880
204,1741863788927,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,51.515625,48.81510543823242,51.723201751708984,47.70020294189453,57.50705337524414,51.163795471191406,35,33.333335876464844,0,65,19.047618865966797,15.789472579956055,10,14.285715103149414,0,45,4.761904716491699,0,18.449514389038086,19327352832,1073741824,16045047808,316538880
203,1741863789132,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,51.515625,48.81510543823242,51.723201751708984,47.70020294189453,57.50705337524414,51.163795471191406,25,15.000000953674316,0,60.000003814697266,5.263157844543457,9.523809432983398,0,5,4.761904716491699,4.761904716491699,0,0,18.449514389038086,19327352832,1073741824,16046063616,316538880
204,1741863789335,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,51.515625,48.81510543823242,51.723201751708984,47.70020294189453,57.50705337524414,51.163795471191406,25,19.047618865966797,0,4.761904716491699,14.285715103149414,9.523809432983398,9.090909004211426,0,0,0,0,0,18.449514389038086,19327352832,1073741824,16046555136,316538880
202,1741863789540,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,61.28125,51.696922302246094,57.054264068603516,49.99367141723633,63.58280944824219,59.16691970825195,30.000001907348633,26.3157901763916,0,0,20,15.000000953674316,5.263157844543457,9.523809432983398,0,0,0,5,18.449514389038086,19327352832,1073741824,16027189248,316538880
204,1741863789743,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,61.28125,51.696922302246094,57.054264068603516,49.99367141723633,63.58280944824219,59.16691970825195,50,40,5,19.047618865966797,30.000001907348633,15.789472579956055,19.047618865966797,15.000000953674316,14.285715103149414,14.285715103149414,0,15.000000953674316,18.449514389038086,19327352832,1073741824,16027189248,316538880
203,1741863789948,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,61.28125,51.696922302246094,57.054264068603516,49.99367141723633,63.58280944824219,59.16691970825195,25,25,0,0,20,14.285715103149414,14.285715103149414,5,0,0,0,4.761904716491699,43.8975944519043,19327352832,1073741824,16027189248,316538880
204,1741863790152,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,61.28125,51.696922302246094,57.054264068603516,49.99367141723633,63.58280944824219,59.16691970825195,19.047618865966797,14.285715103149414,0,0,10,9.523809432983398,0,4.761904716491699,0,0,0,0,43.8975944519043,19327352832,1073741824,16000647168,316538880
200,1741863790356,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,61.28125,51.696922302246094,57.054264068603516,49.99367141723633,63.58280944824219,59.16691970825195,25,20,0,4.761904716491699,15.000000953674316,5,9.523809432983398,5,0,0,0,0,43.8975944519043,19327352832,1073741824,16005513216,316538880
199,1741863790557,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,48.15625,48.664920806884766,48.71445083618164,48.42733383178711,51.73299789428711,51.21485137939453,21.052631378173828,15.789472579956055,0,0,10,10,0,0,0,0,0,5,43.8975944519043,19327352832,1073741824,15996583936,316538880
204,1741863790757,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,48.15625,48.664920806884766,48.71445083618164,48.42733383178711,51.73299789428711,51.21485137939453,30.000001907348633,20,0,0,20,9.523809432983398,5,5,0,5,0,0,43.8975944519043,19327352832,1073741824,15998435328,316538880
202,1741863790962,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,48.15625,48.664920806884766,48.71445083618164,48.42733383178711,51.73299789428711,51.21485137939453,80.95238494873047,70,0,4.761904716491699,61.904762268066406,60.000003814697266,60.000003814697266,50,0,0,0,0,45.83176040649414,19327352832,1073741824,16049700864,316538880
204,1741863791164,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,48.15625,48.664920806884766,48.71445083618164,48.42733383178711,51.73299789428711,51.21485137939453,65,57.142860412597656,0,5,31.57894515991211,25,28.571430206298828,20,0,9.523809432983398,0,9.523809432983398,45.83176040649414,19327352832,1073741824,16087662592,316538880
3,1741863791369,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,48.15625,48.664920806884766,48.71445083618164,48.42733383178711,51.73299789428711,51.21485137939453,80,66.66667175292969,0,5,61.904762268066406,26.3157901763916,30.000001907348633,23.809524536132813,0,42.105262756347656,0,0,45.83176040649414,19327352832,1073741824,16025550848,316538880
